leksem	vr	frek	12a.01.k	12a.01.č	12a.02.k	12a.02.č	12a.03.k	12a.03.č	12a.04.k	12a.04.č	12a.05.k	12a.05.č	12a.06.k	12a.06.č	12a.07.k	12a.07.č	12a.08.k	12a.08.č	12a.09.k	12a.09.č	12a.10.k	12a.10.č	12a.11.k	12a.11.č	12a.12.k	12a.12.č	12a.13.k	12a.13.č	12a.14.k	12a.14.č	12a.15.k	12a.15.č	12a.16.k	12a.16.č	12a.17.k	12a.17.č	12b.01.k	12b.01.č	12b.02.k	12b.02.č	12b.03.k	12b.03.č	12b.04.k	12b.04.č	12b.05.k	12b.05.č	12b.06.k	12b.06.č	12b.07.k	12b.07.č	12b.08.k	12b.08.č	12b.09.k	12b.09.č	12b.10.k	12b.10.č	12b.11.k	12b.11.č	12b.12.k	12b.12.č	12b.13.k	12b.13.č	12b.14.k	12b.14.č	12b.15.k	12b.15.č	12b.16.k	12b.16.č	12b.17.k	12b.17.č	12b.18.k	12b.18.č	12b.19.k	12b.19.č
nošnja	I	11958	5	2	5	2	4	3	4	2	5	3	4	2	5	3	5	3	5	2	4	3	5	3	4	3	5	4	5	3	4	3	5	3	5	2	5	3	5	2	5	1	4	2	5	2	2	3	4	2	5	2	4	2	4	2	5	2	5	1	5	2	5	1	5	3	4	3	5	3	5	2	3	1
potvrditi	G	164346	1	4	2	4	3	5	3	5	1	4	2	4	2	5	2	3	3	4	1	5	4	4	2	5	2	5	3	5	2	5	1	4	2	5	3	3	1	4	4	5	3	3	1	5	3	5	3	3	2	4	3	3	2	3	5	2	2	5	2	3	1	3	2	3	3	3	2	4	1	4	3	4
kandidirati	G	17965	2	3	1	3	4	5	3	3	5	4	2	3	3	4	2	3	1	3	1	4	2	2	3	4	2	3	1	4	2	3	2	3	3	4	3	2	2	3	4	4	3	3	1	3	4	3	3	2	1	3	3	4	2	3	3	5	1	3	3	2	1	1	1	2	3	3	3	3	1	2	1	2
zaživjeti	G	13511	1	2	1	3	1	3	2	4	1	2	1	2	4	2	1	2	1	2	1	2	1	2	3	0	3	2	2	4	2	2	1	2	2	2	2	2	2	4	2	1	2	3	1	3	1	3	3	2	1	1	3	2	1	2	5	4	2	2	3	1	2	2	1	2	2	3	2	2	2	2	2	1
dovoljan	P	116490	2	4	2	5	1	5	2	5	2	2	2	4	4	3	2	3	2	3	1	4	1	4	3	0	3	4	4	5	3	5	2	4	4	5	2	3	1	5	2	4	2	3	1	5	3	5	2	4	1	3	3	3	4	3	1	2	1	5	2	4	1	4	1	4	2	3	2	4	2	4	3	4
izgrađivati	G	7448	4	4	3	3	5	4	4	4	5	2	3	2	4	4	3	4	5	3	2	4	4	4	4	4	4	3	5	4	3	4	1	1	4	4	4	3	2	3	4	4	4	3	3	3	5	3	4	3	3	2	4	4	2	2	2	5	4	4	3	3	4	2	2	3	4	3	4	3	5	3	3	2
nosač	I	21900	5	3	3	3	5	3	5	4	5	1	4	2	4	3	4	3	5	2	4	3	5	3	4	4	5	3	5	4	4	3	5	4	5	3	5	2	4	3	5	1	4	3	3	2	5	3	4	3	5	2	4	3	4	2	4	3	4	3	5	2	4	2	4	3	5	3	5	2	5	2	3	1
praktičan	P	58360	1	5	1	5	2	5	2	5	1	3	1	5	2	3	2	3	1	4	1	4	2	5	2	5	3	4	2	5	1	5	4	5	3	5	3	4	1	5	4	5	3	4	1	5	3	5	2	2	1	3	3	3	1	2	5	2	1	4	2	3	1	3	1	4	2	3	2	4	2	4	2	3
poratni	P	3878	1	2	1	2	4	5	1	1	2	1	2	1	2	2	1	1	2	1	1	1	1	1	3	3	4	2	1	1	2	1	2	1	2	1	3	2	2	2	3	3	3	2	1	2	2	2	2	1	2	1	3	3	1	1	2	5	1	1	3	2	2	1	1	1	3	3	3	3	3	1	2	1
ugostiti	G	22892	3	4	1	3	5	4	3	4	5	2	3	3	4	4	3	3	3	3	1	2	4	4	4	4	3	3	3	4	3	4	3	0	4	4	3	3	3	2	4	4	2	3	2	2	4	4	4	3	2	3	3	3	2	3	2	3	1	3	2	3	1	2	2	2	3	3	4	4	2	3	2	3
nekvalitetan	P	5542	2	5	1	4	2	5	1	4	4	3	3	5	3	4	3	4	1	4	1	3	4	4	3	5	2	3	5	5	2	5	3	3	4	5	3	3	1	5	3	5	3	3	1	5	4	4	3	2	1	3	3	2	2	4	4	5	2	4	1	3	1	3	1	4	2	3	2	4	3	4	2	3
gostujući	P	21984	2	3	2	4	4	4	2	4	5	2	2	3	2	3	1	2	3	2	1	3	2	4	5	4	3	3	3	3	2	4	2	2	4	4	3	3	3	2	4	3	3	3	2	3	3	4	3	2	2	3	3	2	3	3	2	5	1	4	3	2	1	1	1	2	4	3	4	4	3	2	2	3
nadovezati	G	7644	2	3	1	4	1	5	2	4	2	3	2	4	1	5	1	4	3	3	1	4	4	5	4	4	2	4	3	4	2	4	3	5	3	5	2	2	2	3	4	4	4	3	1	4	1	4	3	2	3	2	3	4	2	2	4	5	2	4	2	3	2	2	2	3	3	3	2	3	2	3	3	1
